Date,Open,High,Low,Close,Adj Close,Volume
8/7/2015,2.83162,3.53661,2.52112,2.77212,2.77212,164329
8/8/2015,2.79376,2.79881,0.714725,0.753325,0.753325,674188
8/9/2015,0.706136,0.87981,0.629191,0.701897,0.701897,532170
8/10/2015,0.713989,0.729854,0.636546,0.708448,0.708448,405283
8/11/2015,0.708087,1.13141,0.663235,1.06786,1.06786,1463100
8/12/2015,1.05875,1.28994,0.883608,1.21744,1.21744,2150620
8/13/2015,1.22224,1.96507,1.17199,1.82767,1.82767,4068680
8/14/2015,1.81092,2.26188,1.75475,1.82787,1.82787,4637030
8/15/2015,1.80289,1.87724,1.57098,1.6889,1.6889,2554360
8/16/2015,1.68435,1.69524,1.08981,1.56603,1.56603,3550790
8/17/2015,1.58119,1.58119,1.18534,1.20361,1.20361,1942830
8/18/2015,1.2153,1.33116,1.08705,1.08705,1.08705,1485680
8/19/2015,1.16693,1.31799,1.16693,1.25886,1.25886,1486240
8/20/2015,1.25118,1.5333,1.24833,1.46492,1.46492,2843760
8/21/2015,1.47752,1.55642,1.3528,1.39529,1.39529,2020970
8/22/2015,1.39629,1.47641,1.35268,1.37923,1.37923,948310
8/23/2015,1.375,1.4097,1.29777,1.35259,1.35259,1589300
8/24/2015,1.34559,1.36278,1.23127,1.23127,1.23127,924920
8/25/2015,1.22861,1.24182,1.12865,1.14019,1.14019,1307180
8/26/2015,1.13279,1.20248,1.06183,1.15998,1.15998,1056750
8/27/2015,1.16981,1.18883,1.13729,1.1477,1.1477,686662
8/28/2015,1.14766,1.20779,1.1205,1.19138,1.19138,721872
8/29/2015,1.19353,1.20721,1.14949,1.18255,1.18255,375377
8/30/2015,1.18299,1.36799,1.17061,1.31927,1.31927,1337650
8/31/2015,1.32138,1.39615,1.20101,1.35824,1.35824,1447180
9/1/2015,1.35348,1.39274,1.33663,1.35161,1.35161,778862
9/2/2015,1.35157,1.35491,1.26462,1.29479,1.29479,883769
9/3/2015,1.29519,1.30999,1.21103,1.26493,1.26493,702991
9/4/2015,1.26493,1.30252,1.23681,1.27441,1.27441,474391
9/5/2015,1.28056,1.3423,1.27119,1.33881,1.33881,448453
9/6/2015,1.33801,1.37364,1.29425,1.29583,1.29583,491968
9/7/2015,1.2959,1.30548,1.23785,1.24665,1.24665,489014
9/8/2015,1.24665,1.28238,1.23061,1.24243,1.24243,427892
9/9/2015,1.23935,1.26048,1.20184,1.20651,1.20651,366748
9/10/2015,1.20761,1.22157,1.13615,1.16577,1.16577,662782
9/11/2015,1.16497,1.16907,0.940675,0.982978,0.982978,1942600
9/12/2015,0.987228,1.11489,0.96978,1.03874,1.03874,772430
9/13/2015,1.04178,1.0427,0.902832,0.936003,0.936003,644138
9/14/2015,0.940566,0.949387,0.87176,0.875622,0.875622,741085
9/15/2015,0.875189,1.04554,0.875189,0.94441,0.94441,703390
